GEODOMI LABEL,GEODOMI,GEODOMI CAT,OLD LOCDOMI,OLD LOCDOMI LABEL,MSA/CMSA/NECMA
ATCHISON,29005,MO COUNTIES,003,ATCHISON,
AUDRAIN,29007,MO COUNTIES,004,AUDRAIN,
BARRY,29009,MO COUNTIES,005,BARRY,
BARTON,29011,MO COUNTIES,006,BARTON,
BATES,29013,MO COUNTIES,007,BATES,
BENTON,29015,MO COUNTIES,008,BENTON,
BOLLINGER,29017,MO COUNTIES,009,BOLLINGER,
BOONE,29019,MO COUNTIES,010,BOONE,1740
BUCHANAN,29021,MO COUNTIES,011,BUCHANAN,7000
BUTLER,29023,MO COUNTIES,012,BUTLER,
CALDWELL,29025,MO COUNTIES,013,CALDWELL,
CALLAWAY,29027,MO COUNTIES,014,CALLAWAY,
CAMDEN,29029,MO COUNTIES,015,CAMDEN,
CAPE GIRARDEAU,29031,MO COUNTIES,016,CAPE GIRARDEAU,
CARROLL,29033,MO COUNTIES,017,CARROLL,
CARTER,29035,MO COUNTIES,018,CARTER,
CASS,29037,MO COUNTIES,019,CASS,3760
CEDAR,29039,MO COUNTIES,020,CEDAR,
CHARITON,29041,MO COUNTIES,021,CHARITON,
CHRISTIAN,29043,MO COUNTIES,022,CHRISTIAN,7920
CLARK,29045,MO COUNTIES,023,CLARK,
CLAY,29047,MO COUNTIES,024,CLAY,3760
CLINTON,29049,MO COUNTIES,025,CLINTON,3760
COLE,29051,MO COUNTIES,026,COLE,
COOPER,29053,MO COUNTIES,027,COOPER,
CRAWFORD,29055,MO COUNTIES,028,CRAWFORD,
DADE,29057,MO COUNTIES,029,DADE,
DALLAS,29059,MO COUNTIES,030,DALLAS,
DAVIESS,29061,MO COUNTIES,031,DAVIESS,
DEKALB,29063,MO COUNTIES,032,DEKALB,
DENT,29065,MO COUNTIES,033,DENT,
DOUGLAS,29067,MO COUNTIES,034,DOUGLAS,
DUNKLIN,29069,MO COUNTIES,035,DUNKLIN,
FRANKLIN,29071,MO COUNTIES,036,FRANKLIN,7040
GASCONADE,29073,MO COUNTIES,037,GASCONADE,
GENTRY,29075,MO COUNTIES,038,GENTRY,
GREENE,29077,MO COUNTIES,039,GREENE,7920
